MCS Volumen AContact r h theta
0 14000.0 0.0 0.0 29.902658734369908 180.0
1 15515.0 105.0 5.781222885281108 29.864941361562014 158.08850302998175
2 17571.0 279.0 9.423823971471327 29.509108642791503 144.5779176761441
3 20097.0 483.0 12.399341717477219 29.205765147744373 133.99258665238924
4 22893.0 669.0 14.592782937361742 29.253401277412852 126.97623699466031
5 25823.0 963.0 17.508067294678487 28.488272502001 116.85264090265619
6 28667.0 1215.0 19.665871750657423 28.088425791809374 110.00508020708746
7 31385.0 1509.0 21.91642348220485 27.369387293078898 102.62701172110587
8 33970.0 1752.0 23.615226456547084 27.005939211945062 97.66413671876259
9 36222.0 2028.0 25.40733061895184 26.31369807908202 92.00791502028859
10 38115.0 2322.0 27.186679747971468 25.420849748477895 86.15505097135394
11 39826.0 2565.0 28.573849199249008 24.814917440028324 81.94526786672287
12 41213.0 2781.0 29.75264347040649 24.26148610736912 78.3903362622011
13 42367.0 2991.0 30.855548440689205 23.680427749582492 75.00965958970693
14 43159.0 3192.0 31.875463238965796 23.03310082703825 71.70349390558708
15 43783.0 3366.0 32.73272180700285 22.48037664347574 68.9614728113828
16 44223.0 3519.0 33.468380443050414 21.975672256240937 66.5786035868648
17 44547.0 3660.0 34.13230410377644 21.49932671008928 64.4121816445751
18 44762.0 3771.0 34.64601825317124 21.12293446518983 62.73953293964117
19 44931.0 3831.0 34.9205551784347 20.944924827607196 61.90963623118476
20 45068.0 3921.0 35.328360614761664 20.63975689455348 60.58919060604056
21 45172.0 3978.0 35.58422019995829 20.457182917768087 59.78874301469093
22 45243.0 4050.0 35.904805236128944 20.20835839573419 58.744366958181885
23 45306.0 4098.0 36.116947733455746 20.051218153504266 58.07585923252746
24 45352.0 4131.0 36.262075779321286 19.945473861392433 57.62481954515878
25 45438.0 4200.0 36.56366395715726 19.723942303203383 56.68849309642644
26 45458.0 4221.0 36.654959140364355 19.655141465376936 56.40224555162632
27 45495.0 4272.0 36.875735026940866 19.485575710539738 55.70500823264198
28 45515.0 4308.0 37.03078435139837 19.36516348232076 55.21442827322127
29 45553.0 4350.0 37.21085869607808 19.231588437042426 54.66231244380798
30 45585.0 4371.0 37.30056986842626 19.1701216651598 54.40056538967895
31 45603.0 4392.0 37.390065794529015 19.10398361559725 54.12837804285922
32 45601.0 4413.0 37.479348016328515 19.03104576609407 53.84056959316965
33 45636.0 4440.0 37.59382787980004 18.951405947396953 53.50621437615828
34 45653.0 4479.0 37.75857492301846 18.825490797432575 52.99941614710769
35 45668.0 4506.0 37.87221075068316 18.740300434086993 52.65515858453835
36 45675.0 4542.0 38.02319690724042 18.623131353646976 52.18969304734617
37 45681.0 4569.0 38.13604423604708 18.53631351618189 51.8448415252875
38 45701.0 4605.0 38.28598994248883 18.425833471342724 51.4000749451419
39 45707.0 4650.0 38.47260025985541 18.282681112910762 50.835352533956545
40 45706.0 4677.0 38.58413323740199 18.196064354073343 50.496612542748956
41 45726.0 4707.0 38.707681850856204 18.10796450634483 50.14162706591719
42 45716.0 4743.0 38.85542163160399 17.991449173284767 49.691646321027065
43 45713.0 4779.0 39.002601785936484 17.878540014384168 49.252829244138326
44 45708.0 4791.0 39.05153857028608 17.83977908038988 49.10435694239385
45 45693.0 4809.0 39.12482897927925 17.779298668767876 48.87646528338107
46 45723.0 4842.0 39.25883937283315 17.688953198284004 48.51003451315407
47 45723.0 4860.0 39.33174350131485 17.63443221598156 48.298266972210364
48 45734.0 4878.0 39.40451274669604 17.583951722738014 48.09687860996797
49 45739.0 4905.0 39.51341533873645 17.504802081935384 47.78755572693959
50 45742.0 4938.0 39.6461122681097 17.407833867943456 47.410680227376574
51 45755.0 4965.0 39.754353030863435 17.33274192033534 47.11402552876635
52 45769.0 5007.0 39.922144232521376 17.214988451043578 46.652765988968255
53 45789.0 5055.0 40.113046190224225 17.08347347739299 46.13668264777389
54 45797.0 5097.0 40.27934321558361 16.966703847838094 45.68417548625403
55 45788.0 5106.0 40.314889046783144 16.938295712440567 45.57941009112097
56 45774.0 5124.0 40.38588685179197 16.88302054851676 45.374009133558886
57 45773.0 5154.0 40.50393997367734 16.79890318984703 45.052203350884376
58 45741.0 5166.0 40.55106499249388 16.755006372309392 44.899153551440435
59 45751.0 5208.0 40.715573031030544 16.642628660885332 44.464911760919186
60 45739.0 5226.0 40.78587335336207 16.58952717355019 44.26776167550923
61 45741.0 5253.0 40.89109722327652 16.51691843584444 43.989984408676285
62 45754.0 5268.0 40.94943809646488 16.480702950736855 43.846088393452014
63 45748.0 5304.0 41.08911822269767 16.382314762966445 43.47454037187814
64 45752.0 5325.0 41.17037944844188 16.32781190638605 43.265686659863995
65 45735.0 5340.0 41.228325120254915 16.282644784418824 43.10192402816376
66 45722.0 5352.0 41.274623085567335 16.246838741086044 42.971955268431266
67 45729.0 5376.0 41.367063566611286 16.18622697470044 42.73911885136182
68 45769.0 5394.0 41.43625859166543 16.152222119700507 42.59255795854132
69 45775.0 5415.0 41.516840362499 16.09971912757574 42.391357967746686
70 45777.0 5445.0 41.63168661333264 16.023147087806805 42.101299488724855
71 45774.0 5454.0 41.666078760142454 15.99914972908085 42.01208200948376
72 45774.0 5481.0 41.76908529251457 15.930382308900935 41.75287156781326
73 45783.0 5496.0 41.82620153045354 15.895262630286638 41.61670868951542
74 45762.0 5511.0 41.88323987896436 15.850767989904426 41.45843060264492
75 45770.0 5529.0 41.951583530424436 15.808129364715159 41.2946664382349
76 45782.0 5547.0 42.01981602365112 15.766969015844102 41.13489285265631
77 45783.0 5550.0 42.03117733682984 15.759813194652578 41.10760080385353
78 45782.0 5577.0 42.13329129378573 15.692529924076764 40.855658704427164
79 45794.0 5613.0 42.26905950159782 15.607777216971604 40.5331600593799
80 45793.0 5634.0 42.348056611366204 15.556225725107533 40.34082226968297
81 45815.0 5655.0 42.426906632104775 15.512147091221467 40.16689727971933
82 45808.0 5670.0 42.48313847471833 15.473747482910818 40.026554069742495
83 45830.0 5694.0 42.57295493538714 15.42294319366307 39.8279569860822
84 45834.0 5727.0 42.696144066819066 15.345521931465141 39.53812884936043
85 45827.0 5751.0 42.78551338295452 15.286598562030786 39.32203723998583
86 45816.0 5769.0 42.85241805772795 15.24088840041027 39.15687033902416
87 45831.0 5769.0 42.85241805772795 15.24550452013419 39.16782781955568
88 45836.0 5799.0 42.96369432415935 15.176952348406548 38.91160001391467
89 45848.0 5826.0 43.0635971199198 15.118026452550064 38.68855223050656
90 45855.0 5847.0 43.141139351164846 15.071784439449086 38.51473487205273
91 45836.0 5853.0 43.16326868801443 15.052223626808813 38.45014793815041
92 45836.0 5883.0 43.2737456250235 14.983716762982798 38.1972542990763
93 45845.0 5922.0 43.41694537827838 14.898205860597255 37.87856202565607
94 45827.0 5922.0 43.41694537827838 14.892767007469391 37.86571880548413
95 45838.0 5943.0 43.49385765358446 14.848964737502747 37.70019106661939
96 45831.0 5970.0 43.592545469578056 14.786662192926046 37.47403931527488
97 45839.0 5982.0 43.636335079282674 14.762450210220123 37.38201163620788
98 45848.0 5988.0 43.65821341361255 14.751872715563215 37.339662240168884
99 45835.0 5988.0 43.65821341361255 14.74797553267523 37.33048109855275
100 45827.0 6012.0 43.74561733176193 14.692699067261957 37.13097787565389
101 45829.0 6045.0 43.86551335594985 14.621141539692626 36.86826069187302
102 45831.0 6069.0 43.95250503952449 14.56965816078681 36.67931471058356
103 45832.0 6084.0 44.00678751672499 14.537574653350976 36.56178571853494
104 45808.0 6102.0 44.07183823592443 14.491790677871185 36.40400663074517
105 45808.0 6129.0 44.16923468230407 14.434132312850338 36.1939081611936
106 45793.0 6114.0 44.115152092310595 14.461682973561723 36.30001411445025
107 45809.0 6150.0 44.244839247423116 14.389866885520789 36.032435704119465
108 45823.0 6156.0 44.266416834293416 14.381295326706885 35.99593658101512
109 45854.0 6192.0 44.39566212199151 14.314656382558539 35.74213806783426
110 45860.0 6219.0 44.492349703932184 14.260067477393681 35.541938587686786
111 45846.0 6249.0 44.59953451284562 14.193864142276583 35.30748839741805
112 45854.0 6267.0 44.66372193082229 14.159147343202187 35.17897284685621
113 45848.0 6297.0 44.770496460273144 14.096066381971418 34.95339281790185
