MCS Area Contacto
0 3880.0 300.0
1 4267.0 336.0
2 4807.0 387.0
3 5437.0 465.0
4 6099.0 573.0
5 6950.0 750.0
6 7782.0 867.0
7 8678.0 960.0
8 9517.0 1128.0
9 10352.0 1284.0
10 11093.0 1386.0
11 11772.0 1497.0
12 12376.0 1623.0
13 12926.0 1731.0
14 13395.0 1815.0
15 13825.0 1896.0
16 14170.0 1971.0
17 14426.0 2058.0
18 14684.0 2118.0
19 14828.0 2169.0
20 14974.0 2202.0
21 15082.0 2244.0
22 15178.0 2274.0
23 15244.0 2310.0
24 15294.0 2313.0
25 15371.0 2322.0
26 15431.0 2331.0
27 15477.0 2340.0
28 15493.0 2358.0
29 15560.0 2388.0
30 15607.0 2400.0
31 15643.0 2403.0
32 15678.0 2409.0
33 15726.0 2421.0
34 15739.0 2442.0
35 15742.0 2457.0
36 15760.0 2469.0
37 15788.0 2484.0
38 15801.0 2508.0
39 15845.0 2520.0
40 15852.0 2529.0
41 15870.0 2553.0
42 15876.0 2565.0
43 15883.0 2580.0
44 15901.0 2619.0
45 15907.0 2631.0
46 15918.0 2643.0
47 15916.0 2661.0
48 15913.0 2667.0
49 15936.0 2685.0
50 15943.0 2691.0
51 15937.0 2688.0
52 15933.0 2700.0
53 15945.0 2706.0
54 15944.0 2694.0
55 15958.0 2706.0
56 15964.0 2727.0
57 15986.0 2736.0
58 15988.0 2736.0
59 15999.0 2748.0
60 15981.0 2763.0
61 15977.0 2775.0
62 15968.0 2775.0
63 15985.0 2796.0
64 16003.0 2799.0
65 16026.0 2817.0
66 16000.0 2817.0
67 16013.0 2811.0
68 16013.0 2817.0
69 16039.0 2835.0
70 16029.0 2856.0
71 16021.0 2859.0
72 15996.0 2880.0
73 15984.0 2886.0
74 16011.0 2868.0
75 16017.0 2868.0
76 16007.0 2868.0
77 16000.0 2886.0
78 15987.0 2904.0
79 15988.0 2901.0
80 15982.0 2904.0
81 15977.0 2925.0
82 15983.0 2931.0
83 16007.0 2925.0
84 16005.0 2928.0
85 16019.0 2943.0
86 16041.0 2961.0
87 16048.0 2940.0
88 16046.0 2943.0
89 16056.0 2961.0
90 16073.0 2967.0
91 16093.0 2946.0
92 16078.0 2979.0
93 16090.0 2994.0
94 16078.0 3012.0
95 16089.0 3018.0
96 16079.0 3012.0
97 16063.0 3015.0
98 16092.0 3027.0
99 16091.0 3024.0
100 16082.0 3021.0
101 16086.0 3015.0
102 16094.0 3009.0
103 16094.0 3027.0
104 16121.0 3027.0
105 16139.0 3012.0
106 16128.0 3006.0
107 16124.0 3015.0
108 16075.0 3024.0
109 16062.0 3030.0
110 16071.0 3030.0
111 16070.0 3027.0
112 16069.0 3033.0
113 16059.0 3030.0
114 16044.0 3054.0
115 16059.0 3066.0
116 16071.0 3078.0
117 16056.0 3081.0
118 16052.0 3078.0
119 16054.0 3105.0
120 16052.0 3096.0
121 16053.0 3099.0
122 16063.0 3117.0
123 16047.0 3108.0
124 16047.0 3099.0
125 16041.0 3111.0
126 16055.0 3120.0
127 16066.0 3123.0
128 16047.0 3123.0
129 16050.0 3129.0
130 16017.0 3111.0
131 16039.0 3123.0
132 16039.0 3135.0
133 16019.0 3129.0
134 16021.0 3108.0
135 16041.0 3120.0
136 16022.0 3120.0
137 16016.0 3129.0
138 16045.0 3141.0
139 16062.0 3180.0
140 16061.0 3168.0
141 16047.0 3168.0
142 16039.0 3150.0
143 16031.0 3153.0
144 16027.0 3159.0
145 16026.0 3171.0
146 16073.0 3189.0
147 16088.0 3198.0
148 16065.0 3183.0
149 16072.0 3198.0
150 16062.0 3207.0
151 16064.0 3213.0
152 16052.0 3228.0
153 16043.0 3237.0
154 16033.0 3246.0
155 16056.0 3252.0
156 16051.0 3258.0
157 16021.0 3243.0
158 16019.0 3246.0
159 16001.0 3264.0
160 15997.0 3258.0
161 15996.0 3252.0
162 16006.0 3231.0
163 15999.0 3231.0
164 16025.0 3246.0
165 16012.0 3249.0
166 16016.0 3243.0
167 16005.0 3264.0
168 15986.0 3270.0
169 15983.0 3264.0
170 15972.0 3252.0
171 15990.0 3276.0
172 16014.0 3294.0
173 16006.0 3288.0
174 16015.0 3291.0
175 16032.0 3300.0
176 16029.0 3297.0
177 16014.0 3288.0
178 15999.0 3279.0
179 16022.0 3282.0
180 15998.0 3294.0
181 15979.0 3309.0
182 15972.0 3297.0
183 15978.0 3282.0
