MCS Area Contacto
0 3880.0 300.0
1 4291.0 336.0
2 4790.0 387.0
3 5368.0 471.0
4 6035.0 570.0
5 6738.0 684.0
6 7445.0 816.0
7 8152.0 942.0
8 8861.0 1059.0
9 9511.0 1191.0
10 10126.0 1293.0
11 10684.0 1389.0
12 11200.0 1473.0
13 11697.0 1614.0
14 12125.0 1704.0
15 12503.0 1791.0
16 12832.0 1878.0
17 13133.0 1962.0
18 13364.0 1974.0
19 13573.0 2007.0
20 13758.0 2052.0
21 13915.0 2106.0
22 14052.0 2118.0
23 14161.0 2151.0
24 14260.0 2190.0
25 14359.0 2217.0
26 14428.0 2238.0
27 14514.0 2265.0
28 14567.0 2286.0
29 14634.0 2313.0
30 14687.0 2325.0
31 14740.0 2334.0
32 14786.0 2349.0
33 14828.0 2337.0
34 14849.0 2361.0
35 14900.0 2367.0
36 14927.0 2364.0
37 14947.0 2379.0
38 14988.0 2370.0
39 14998.0 2394.0
40 15047.0 2409.0
41 15052.0 2436.0
42 15061.0 2448.0
43 15054.0 2463.0
44 15074.0 2484.0
45 15090.0 2499.0
46 15098.0 2502.0
47 15099.0 2514.0
48 15118.0 2541.0
49 15139.0 2553.0
50 15143.0 2556.0
51 15159.0 2565.0
52 15186.0 2604.0
53 15197.0 2598.0
54 15214.0 2613.0
55 15216.0 2610.0
56 15242.0 2619.0
57 15260.0 2631.0
58 15273.0 2649.0
59 15300.0 2688.0
60 15309.0 2706.0
61 15335.0 2709.0
62 15352.0 2733.0
63 15300.0 2751.0
64 15314.0 2766.0
65 15318.0 2778.0
66 15318.0 2775.0
67 15336.0 2784.0
68 15342.0 2781.0
69 15350.0 2802.0
70 15343.0 2817.0
71 15346.0 2817.0
72 15319.0 2835.0
73 15311.0 2832.0
74 15293.0 2829.0
75 15304.0 2850.0
76 15311.0 2847.0
77 15314.0 2841.0
78 15325.0 2868.0
79 15328.0 2883.0
80 15348.0 2901.0
81 15370.0 2916.0
82 15372.0 2916.0
83 15356.0 2904.0
84 15338.0 2886.0
85 15325.0 2892.0
86 15332.0 2892.0
87 15333.0 2901.0
88 15336.0 2910.0
89 15324.0 2940.0
90 15309.0 2922.0
91 15328.0 2934.0
92 15316.0 2937.0
93 15324.0 2940.0
94 15326.0 2949.0
95 15356.0 2940.0
96 15359.0 2943.0
97 15350.0 2937.0
98 15342.0 2937.0
99 15355.0 2940.0
100 15332.0 2934.0
101 15327.0 2937.0
102 15349.0 2931.0
103 15354.0 2952.0
104 15351.0 2952.0
105 15344.0 2976.0
106 15335.0 2985.0
107 15332.0 2982.0
108 15359.0 2988.0
109 15353.0 3000.0
110 15359.0 3015.0
111 15332.0 3021.0
112 15340.0 3039.0
113 15380.0 3042.0
114 15380.0 3036.0
115 15394.0 3051.0
116 15379.0 3027.0
117 15361.0 3027.0
118 15356.0 3048.0
119 15360.0 3030.0
120 15361.0 3033.0
121 15351.0 3048.0
122 15352.0 3063.0
123 15375.0 3075.0
124 15363.0 3096.0
125 15357.0 3117.0
126 15351.0 3105.0
127 15323.0 3105.0
128 15351.0 3096.0
129 15374.0 3102.0
130 15359.0 3093.0
131 15380.0 3108.0
132 15389.0 3114.0
133 15422.0 3111.0
134 15419.0 3132.0
135 15402.0 3135.0
136 15406.0 3165.0
137 15405.0 3159.0
138 15413.0 3150.0
139 15401.0 3159.0
140 15394.0 3171.0
141 15396.0 3174.0
142 15361.0 3162.0
143 15375.0 3177.0
144 15366.0 3177.0
145 15359.0 3192.0
146 15378.0 3207.0
147 15371.0 3213.0
148 15372.0 3201.0
149 15377.0 3195.0
150 15380.0 3192.0
151 15385.0 3186.0
152 15384.0 3207.0
153 15381.0 3225.0
154 15394.0 3243.0
155 15396.0 3258.0
156 15396.0 3228.0
157 15403.0 3222.0
158 15397.0 3228.0
159 15418.0 3240.0
160 15428.0 3243.0
161 15461.0 3267.0
162 15454.0 3240.0
163 15441.0 3255.0
164 15447.0 3270.0
165 15470.0 3291.0
166 15466.0 3300.0
167 15434.0 3297.0
168 15460.0 3288.0
169 15434.0 3294.0
170 15418.0 3282.0
