MCS Area Contacto
0 3880.0 300.0
1 4284.0 339.0
2 4825.0 372.0
3 5461.0 435.0
4 6242.0 564.0
5 7120.0 687.0
6 8095.0 774.0
7 9150.0 915.0
8 10243.0 1068.0
9 11437.0 1221.0
10 12745.0 1374.0
11 14070.0 1533.0
12 15442.0 1719.0
13 16852.0 1896.0
14 18287.0 2097.0
15 19730.0 2226.0
16 21155.0 2385.0
17 22600.0 2610.0
18 24074.0 2787.0
19 25472.0 3033.0
20 26764.0 3210.0
21 28011.0 3381.0
22 29115.0 3543.0
23 30266.0 3732.0
24 31279.0 3873.0
25 32160.0 4086.0
26 32925.0 4197.0
27 33559.0 4320.0
28 34099.0 4407.0
29 34516.0 4476.0
30 34876.0 4530.0
31 35195.0 4617.0
32 35457.0 4683.0
33 35688.0 4713.0
34 35854.0 4761.0
35 36034.0 4782.0
36 36197.0 4800.0
37 36359.0 4863.0
38 36477.0 4875.0
39 36563.0 4869.0
40 36692.0 4878.0
41 36787.0 4905.0
42 36842.0 4953.0
43 36928.0 4950.0
44 37015.0 4989.0
45 37129.0 4995.0
46 37163.0 5019.0
47 37240.0 5055.0
48 37319.0 5082.0
49 37367.0 5094.0
50 37445.0 5112.0
51 37493.0 5133.0
52 37537.0 5172.0
53 37571.0 5190.0
54 37603.0 5196.0
55 37643.0 5196.0
56 37682.0 5220.0
57 37701.0 5226.0
58 37750.0 5247.0
59 37795.0 5247.0
60 37819.0 5259.0
61 37890.0 5271.0
62 37909.0 5289.0
63 37923.0 5307.0
64 37939.0 5316.0
65 38002.0 5328.0
66 38019.0 5361.0
67 38039.0 5355.0
68 38068.0 5370.0
69 38109.0 5379.0
70 38125.0 5367.0
71 38128.0 5355.0
72 38147.0 5358.0
73 38148.0 5376.0
74 38145.0 5382.0
75 38186.0 5379.0
76 38196.0 5400.0
77 38187.0 5409.0
78 38213.0 5415.0
79 38232.0 5430.0
80 38260.0 5439.0
81 38311.0 5451.0
82 38315.0 5466.0
83 38375.0 5511.0
84 38397.0 5532.0
85 38423.0 5535.0
86 38435.0 5556.0
87 38462.0 5595.0
88 38476.0 5583.0
89 38474.0 5592.0
90 38485.0 5601.0
91 38454.0 5613.0
92 38470.0 5625.0
93 38451.0 5628.0
94 38473.0 5622.0
95 38455.0 5622.0
96 38459.0 5637.0
97 38453.0 5628.0
98 38483.0 5625.0
99 38500.0 5625.0
100 38541.0 5625.0
101 38538.0 5652.0
102 38536.0 5667.0
103 38531.0 5679.0
104 38538.0 5700.0
105 38547.0 5712.0
106 38548.0 5718.0
107 38511.0 5739.0
108 38495.0 5724.0
109 38490.0 5715.0
110 38497.0 5727.0
111 38494.0 5709.0
112 38524.0 5718.0
113 38513.0 5715.0
114 38530.0 5721.0
115 38544.0 5724.0
116 38536.0 5757.0
117 38524.0 5748.0
118 38537.0 5766.0
119 38529.0 5769.0
120 38539.0 5751.0
121 38538.0 5730.0
122 38543.0 5757.0
123 38555.0 5742.0
124 38570.0 5763.0
125 38570.0 5793.0
126 38578.0 5793.0
127 38548.0 5805.0
128 38592.0 5817.0
129 38593.0 5826.0
130 38618.0 5811.0
131 38607.0 5814.0
132 38586.0 5799.0
133 38593.0 5826.0
134 38606.0 5799.0
135 38612.0 5790.0
136 38622.0 5811.0
137 38624.0 5826.0
138 38615.0 5808.0
139 38639.0 5817.0
140 38691.0 5805.0
141 38704.0 5814.0
142 38710.0 5802.0
143 38699.0 5805.0
144 38678.0 5790.0
145 38685.0 5814.0
146 38660.0 5823.0
147 38675.0 5814.0
148 38682.0 5805.0
149 38669.0 5832.0
150 38694.0 5847.0
151 38696.0 5886.0
152 38683.0 5871.0
153 38652.0 5877.0
154 38623.0 5868.0
155 38654.0 5880.0
156 38632.0 5904.0
157 38643.0 5910.0
158 38652.0 5925.0
159 38653.0 5940.0
160 38671.0 5925.0
161 38671.0 5922.0
162 38664.0 5946.0
163 38684.0 5952.0
164 38687.0 5946.0
165 38670.0 5958.0
166 38641.0 5976.0
167 38677.0 5994.0
168 38710.0 5994.0
169 38706.0 6003.0
170 38688.0 6000.0
171 38685.0 5991.0
172 38662.0 5991.0
173 38655.0 5997.0
174 38675.0 5985.0
175 38681.0 5976.0
176 38629.0 5979.0
177 38619.0 5979.0
178 38612.0 5985.0
179 38602.0 6000.0
180 38575.0 5991.0
181 38557.0 6006.0
182 38541.0 6021.0
183 38536.0 6039.0
184 38549.0 6063.0
185 38562.0 6036.0
186 38564.0 6057.0
187 38548.0 6066.0
188 38529.0 6081.0
189 38519.0 6084.0
190 38547.0 6072.0
191 38538.0 6090.0
192 38538.0 6093.0
193 38550.0 6072.0
194 38544.0 6087.0
195 38529.0 6090.0
196 38531.0 6096.0
197 38520.0 6087.0
198 38524.0 6108.0
199 38534.0 6135.0
200 38553.0 6138.0
201 38540.0 6114.0
202 38532.0 6120.0
203 38551.0 6129.0
204 38544.0 6138.0
205 38548.0 6147.0
206 38539.0 6147.0
207 38540.0 6159.0
208 38547.0 6162.0
209 38578.0 6171.0
210 38575.0 6189.0
211 38560.0 6159.0
212 38587.0 6168.0
213 38609.0 6180.0
214 38592.0 6168.0
215 38586.0 6168.0
216 38557.0 6180.0
217 38583.0 6183.0
218 38566.0 6171.0
219 38593.0 6165.0
220 38642.0 6159.0
221 38651.0 6156.0
222 38642.0 6156.0
223 38629.0 6150.0
224 38598.0 6162.0
225 38593.0 6180.0
226 38604.0 6156.0
227 38606.0 6156.0
228 38614.0 6165.0
229 38607.0 6186.0
230 38625.0 6189.0
231 38626.0 6189.0
232 38629.0 6189.0
233 38656.0 6201.0
234 38642.0 6219.0
235 38633.0 6192.0
236 38603.0 6207.0
237 38619.0 6213.0
238 38611.0 6222.0
239 38636.0 6219.0
240 38641.0 6237.0
241 38619.0 6231.0
242 38618.0 6231.0
243 38614.0 6252.0
244 38620.0 6270.0
245 38637.0 6261.0
246 38654.0 6258.0
247 38655.0 6282.0
248 38665.0 6270.0
249 38624.0 6288.0
250 38636.0 6282.0
251 38666.0 6306.0
252 38606.0 6318.0
253 38628.0 6309.0
254 38601.0 6324.0
255 38566.0 6336.0
256 38583.0 6330.0
257 38589.0 6330.0
258 38608.0 6330.0
259 38625.0 6333.0
260 38645.0 6345.0
261 38642.0 6342.0
262 38649.0 6333.0
263 38648.0 6339.0
264 38643.0 6360.0
265 38680.0 6342.0
266 38651.0 6333.0
267 38676.0 6339.0
268 38686.0 6336.0
269 38690.0 6345.0
270 38673.0 6351.0
271 38680.0 6351.0
272 38645.0 6339.0
273 38632.0 6327.0
274 38608.0 6321.0
275 38609.0 6348.0
276 38625.0 6360.0
277 38636.0 6348.0
278 38648.0 6345.0
279 38653.0 6357.0
280 38655.0 6366.0
281 38658.0 6357.0
282 38667.0 6369.0
283 38651.0 6390.0
284 38647.0 6405.0
285 38675.0 6411.0
286 38674.0 6408.0
287 38670.0 6399.0
288 38640.0 6405.0
289 38661.0 6396.0
290 38656.0 6381.0
291 38638.0 6390.0
292 38643.0 6402.0
293 38642.0 6387.0
294 38614.0 6411.0
295 38623.0 6423.0
296 38624.0 6453.0
297 38587.0 6444.0
298 38598.0 6438.0
299 38571.0 6438.0
300 38546.0 6456.0
301 38527.0 6429.0
302 38528.0 6432.0
303 38513.0 6438.0
304 38517.0 6438.0
305 38526.0 6432.0
306 38557.0 6444.0
307 38545.0 6435.0
308 38549.0 6429.0
309 38587.0 6450.0
310 38606.0 6468.0
311 38605.0 6459.0
312 38616.0 6465.0
313 38584.0 6435.0
314 38597.0 6423.0
315 38604.0 6411.0
316 38596.0 6423.0
317 38567.0 6405.0
318 38566.0 6393.0
319 38577.0 6414.0
320 38573.0 6465.0
321 38576.0 6453.0
322 38594.0 6453.0
323 38569.0 6456.0
324 38573.0 6462.0
325 38591.0 6441.0
326 38573.0 6435.0
327 38590.0 6450.0
328 38586.0 6414.0
329 38603.0 6432.0
330 38631.0 6435.0
331 38618.0 6441.0
332 38627.0 6459.0
333 38641.0 6447.0
334 38636.0 6444.0
335 38627.0 6444.0
336 38615.0 6447.0
337 38631.0 6459.0
338 38623.0 6447.0
339 38619.0 6456.0
340 38588.0 6444.0
341 38600.0 6444.0
342 38583.0 6459.0
343 38563.0 6435.0
344 38569.0 6441.0
345 38546.0 6450.0
346 38562.0 6489.0
347 38568.0 6516.0
348 38566.0 6501.0
349 38592.0 6510.0
350 38595.0 6495.0
351 38597.0 6504.0
352 38612.0 6525.0
353 38603.0 6516.0
354 38595.0 6519.0
355 38603.0 6507.0
356 38593.0 6507.0
357 38625.0 6528.0
358 38626.0 6546.0
359 38645.0 6564.0
360 38634.0 6552.0
361 38636.0 6552.0
362 38631.0 6546.0
363 38635.0 6567.0
364 38612.0 6582.0
365 38601.0 6573.0
366 38580.0 6573.0
367 38558.0 6570.0
368 38546.0 6579.0
369 38548.0 6576.0
370 38543.0 6579.0
371 38557.0 6606.0
372 38568.0 6600.0
373 38583.0 6609.0
374 38590.0 6609.0
375 38608.0 6609.0
376 38586.0 6615.0
377 38620.0 6627.0
378 38619.0 6627.0
379 38613.0 6621.0
380 38599.0 6615.0
381 38611.0 6597.0
382 38590.0 6591.0
383 38604.0 6585.0
384 38609.0 6594.0
385 38596.0 6612.0
386 38589.0 6594.0
387 38578.0 6609.0
388 38570.0 6630.0
389 38579.0 6645.0
390 38583.0 6651.0
391 38577.0 6666.0
392 38570.0 6681.0
393 38530.0 6672.0
394 38556.0 6669.0
395 38550.0 6669.0
396 38519.0 6654.0
397 38501.0 6654.0
398 38484.0 6657.0
399 38478.0 6657.0
400 38504.0 6654.0
401 38486.0 6654.0
402 38491.0 6657.0
403 38489.0 6651.0
404 38463.0 6666.0
405 38469.0 6672.0
406 38496.0 6648.0
407 38493.0 6672.0
408 38483.0 6669.0
409 38486.0 6672.0
410 38487.0 6693.0
411 38460.0 6684.0
412 38490.0 6729.0
413 38500.0 6726.0
414 38478.0 6708.0
415 38478.0 6702.0
416 38471.0 6675.0
417 38475.0 6705.0
418 38488.0 6699.0
419 38521.0 6741.0
420 38530.0 6723.0
421 38532.0 6714.0
422 38554.0 6738.0
423 38558.0 6762.0
424 38561.0 6771.0
425 38573.0 6768.0
426 38564.0 6765.0
427 38542.0 6762.0
428 38550.0 6756.0
429 38554.0 6747.0
430 38565.0 6729.0
431 38566.0 6735.0
432 38564.0 6747.0
433 38555.0 6735.0
434 38548.0 6714.0
435 38580.0 6729.0
436 38567.0 6753.0
437 38580.0 6759.0
438 38560.0 6744.0
439 38544.0 6762.0
440 38543.0 6765.0
441 38518.0 6747.0
442 38562.0 6750.0
443 38565.0 6765.0
444 38586.0 6804.0
445 38578.0 6816.0
446 38565.0 6798.0
447 38559.0 6804.0
448 38522.0 6801.0
449 38539.0 6795.0
450 38537.0 6795.0
451 38536.0 6795.0
452 38518.0 6777.0
453 38516.0 6759.0
454 38527.0 6771.0
455 38505.0 6780.0
456 38508.0 6783.0
457 38478.0 6798.0
458 38452.0 6795.0
459 38461.0 6807.0
460 38430.0 6798.0
461 38438.0 6804.0
462 38451.0 6819.0
463 38447.0 6798.0
464 38452.0 6792.0
465 38443.0 6774.0
466 38472.0 6753.0
467 38463.0 6759.0
468 38443.0 6774.0
469 38437.0 6774.0
470 38443.0 6804.0
471 38429.0 6813.0
472 38421.0 6801.0
473 38415.0 6789.0
474 38416.0 6816.0
