MCS Area Contacto
0 3880.0 300.0
1 4267.0 318.0
2 4702.0 378.0
3 5218.0 450.0
4 5835.0 525.0
5 6558.0 630.0
6 7310.0 759.0
7 8028.0 900.0
8 8788.0 1038.0
9 9566.0 1200.0
10 10366.0 1341.0
11 11136.0 1470.0
12 11880.0 1557.0
13 12649.0 1674.0
14 13409.0 1809.0
15 14195.0 1905.0
16 14938.0 2025.0
17 15642.0 2112.0
18 16323.0 2229.0
19 17007.0 2328.0
20 17709.0 2442.0
21 18369.0 2553.0
22 18972.0 2676.0
23 19587.0 2781.0
24 20181.0 2880.0
25 20731.0 2979.0
26 21288.0 3069.0
27 21846.0 3177.0
28 22311.0 3237.0
29 22785.0 3303.0
30 23253.0 3384.0
31 23656.0 3456.0
32 24074.0 3507.0
33 24556.0 3576.0
34 24965.0 3633.0
35 25330.0 3684.0
36 25670.0 3738.0
37 25990.0 3795.0
38 26342.0 3858.0
39 26608.0 3921.0
40 26892.0 3966.0
41 27134.0 4014.0
42 27400.0 4038.0
43 27638.0 4071.0
44 27882.0 4107.0
45 28092.0 4140.0
46 28309.0 4182.0
47 28509.0 4212.0
48 28681.0 4236.0
49 28831.0 4272.0
50 28980.0 4323.0
51 29147.0 4356.0
52 29279.0 4383.0
53 29392.0 4380.0
54 29532.0 4413.0
55 29683.0 4428.0
56 29826.0 4425.0
57 29951.0 4452.0
58 30098.0 4479.0
59 30199.0 4494.0
60 30300.0 4509.0
61 30419.0 4494.0
62 30520.0 4533.0
63 30608.0 4572.0
64 30723.0 4599.0
65 30799.0 4614.0
66 30893.0 4620.0
67 30956.0 4629.0
68 31050.0 4662.0
69 31114.0 4665.0
70 31198.0 4665.0
71 31253.0 4665.0
72 31279.0 4665.0
73 31372.0 4701.0
74 31458.0 4710.0
75 31509.0 4719.0
76 31562.0 4716.0
77 31607.0 4749.0
78 31653.0 4779.0
79 31666.0 4806.0
80 31731.0 4809.0
81 31790.0 4839.0
82 31822.0 4860.0
83 31841.0 4875.0
84 31889.0 4866.0
85 31920.0 4878.0
86 31988.0 4887.0
87 31990.0 4890.0
88 32020.0 4884.0
89 32053.0 4914.0
90 32097.0 4938.0
91 32132.0 4962.0
92 32153.0 4926.0
93 32183.0 4920.0
94 32246.0 4953.0
95 32313.0 4953.0
96 32358.0 4959.0
97 32402.0 4992.0
98 32445.0 4974.0
99 32452.0 4977.0
100 32448.0 4998.0
101 32485.0 4986.0
102 32454.0 4998.0
103 32500.0 4995.0
104 32508.0 4998.0
105 32539.0 5004.0
106 32592.0 5043.0
107 32588.0 5040.0
108 32609.0 5040.0
109 32633.0 5079.0
110 32675.0 5082.0
111 32700.0 5091.0
112 32709.0 5118.0
113 32718.0 5133.0
114 32731.0 5145.0
115 32705.0 5157.0
116 32719.0 5172.0
117 32716.0 5163.0
118 32731.0 5181.0
119 32763.0 5214.0
120 32786.0 5199.0
121 32815.0 5208.0
122 32805.0 5211.0
123 32812.0 5199.0
124 32810.0 5199.0
125 32836.0 5223.0
126 32845.0 5202.0
127 32845.0 5235.0
128 32867.0 5262.0
129 32901.0 5265.0
130 32928.0 5271.0
131 32970.0 5283.0
132 32969.0 5262.0
133 33008.0 5277.0
134 33018.0 5307.0
135 33032.0 5316.0
136 33048.0 5295.0
137 33073.0 5298.0
138 33058.0 5313.0
139 33067.0 5319.0
140 33079.0 5310.0
141 33068.0 5325.0
142 33079.0 5328.0
143 33060.0 5319.0
144 33067.0 5358.0
145 33052.0 5370.0
146 33070.0 5352.0
147 33086.0 5364.0
148 33073.0 5364.0
149 33073.0 5373.0
150 33108.0 5379.0
151 33105.0 5370.0
152 33096.0 5349.0
153 33109.0 5376.0
154 33111.0 5388.0
155 33109.0 5394.0
156 33117.0 5412.0
157 33117.0 5421.0
158 33114.0 5406.0
159 33123.0 5394.0
160 33098.0 5409.0
161 33120.0 5412.0
162 33137.0 5436.0
163 33152.0 5445.0
164 33168.0 5448.0
165 33172.0 5448.0
166 33202.0 5469.0
167 33196.0 5472.0
168 33233.0 5496.0
169 33258.0 5502.0
170 33259.0 5481.0
171 33216.0 5523.0
172 33230.0 5517.0
173 33266.0 5514.0
174 33269.0 5520.0
175 33284.0 5529.0
176 33245.0 5529.0
177 33217.0 5508.0
178 33232.0 5490.0
179 33182.0 5502.0
180 33172.0 5520.0
181 33195.0 5508.0
182 33218.0 5499.0
183 33200.0 5505.0
184 33203.0 5550.0
185 33198.0 5568.0
186 33222.0 5592.0
187 33213.0 5574.0
188 33227.0 5553.0
189 33263.0 5550.0
190 33282.0 5553.0
191 33300.0 5529.0
192 33306.0 5547.0
193 33315.0 5565.0
194 33307.0 5553.0
195 33309.0 5580.0
196 33297.0 5601.0
197 33297.0 5592.0
198 33275.0 5589.0
199 33279.0 5598.0
200 33304.0 5613.0
201 33307.0 5595.0
202 33321.0 5595.0
203 33323.0 5595.0
204 33333.0 5586.0
205 33289.0 5589.0
206 33303.0 5589.0
207 33319.0 5598.0
208 33340.0 5601.0
209 33308.0 5601.0
210 33325.0 5628.0
211 33310.0 5634.0
212 33281.0 5655.0
213 33275.0 5652.0
214 33268.0 5670.0
215 33295.0 5664.0
216 33266.0 5664.0
217 33273.0 5655.0
218 33271.0 5643.0
219 33288.0 5661.0
220 33302.0 5700.0
221 33297.0 5685.0
222 33289.0 5676.0
223 33307.0 5694.0
224 33296.0 5685.0
225 33284.0 5700.0
226 33280.0 5703.0
227 33298.0 5718.0
228 33272.0 5709.0
229 33247.0 5724.0
230 33250.0 5745.0
231 33220.0 5760.0
232 33221.0 5751.0
233 33230.0 5745.0
234 33219.0 5718.0
235 33192.0 5694.0
236 33192.0 5697.0
237 33175.0 5694.0
238 33166.0 5742.0
239 33156.0 5745.0
240 33121.0 5760.0
241 33141.0 5793.0
242 33117.0 5793.0
243 33146.0 5799.0
244 33171.0 5784.0
245 33184.0 5793.0
246 33196.0 5787.0
247 33178.0 5793.0
248 33193.0 5805.0
249 33210.0 5796.0
250 33216.0 5805.0
251 33203.0 5811.0
252 33185.0 5799.0
253 33195.0 5787.0
254 33181.0 5814.0
255 33149.0 5781.0
256 33166.0 5781.0
257 33144.0 5781.0
258 33135.0 5793.0
259 33171.0 5790.0
260 33186.0 5778.0
261 33177.0 5772.0
262 33185.0 5805.0
263 33190.0 5793.0
264 33191.0 5784.0
265 33185.0 5778.0
266 33194.0 5784.0
267 33213.0 5808.0
268 33213.0 5808.0
269 33223.0 5847.0
270 33248.0 5859.0
271 33219.0 5865.0
272 33223.0 5865.0
273 33218.0 5868.0
274 33224.0 5880.0
275 33208.0 5868.0
276 33184.0 5877.0
277 33201.0 5892.0
278 33228.0 5925.0
279 33207.0 5928.0
280 33216.0 5934.0
281 33208.0 5916.0
282 33195.0 5928.0
283 33168.0 5928.0
284 33160.0 5937.0
285 33193.0 5940.0
286 33215.0 5955.0
287 33253.0 5958.0
288 33286.0 5979.0
289 33297.0 5994.0
290 33306.0 6003.0
291 33283.0 6000.0
292 33291.0 6012.0
293 33280.0 6027.0
294 33293.0 6024.0
295 33280.0 6024.0
296 33294.0 6009.0
297 33291.0 6024.0
298 33315.0 6030.0
299 33383.0 6036.0
300 33409.0 6036.0
301 33391.0 6045.0
302 33382.0 6069.0
303 33369.0 6093.0
