MCS Area Contacto
0 3880.0 300.0
1 4026.0 339.0
2 4147.0 369.0
3 4272.0 393.0
4 4416.0 420.0
5 4528.0 441.0
6 4657.0 477.0
7 4784.0 513.0
8 4892.0 543.0
9 5002.0 552.0
10 5112.0 576.0
11 5254.0 621.0
12 5391.0 669.0
13 5539.0 702.0
14 5626.0 732.0
15 5754.0 780.0
16 5844.0 804.0
17 5931.0 831.0
18 6045.0 858.0
19 6144.0 897.0
20 6247.0 930.0
21 6346.0 951.0
22 6438.0 984.0
23 6505.0 1023.0
24 6596.0 1047.0
25 6684.0 1068.0
26 6788.0 1089.0
27 6846.0 1110.0
28 6927.0 1122.0
29 6981.0 1125.0
30 7057.0 1143.0
31 7126.0 1176.0
32 7213.0 1185.0
33 7301.0 1224.0
34 7349.0 1239.0
35 7422.0 1254.0
36 7477.0 1269.0
37 7526.0 1302.0
38 7589.0 1317.0
39 7666.0 1353.0
40 7713.0 1371.0
41 7738.0 1389.0
42 7780.0 1410.0
43 7828.0 1425.0
44 7857.0 1425.0
45 7909.0 1455.0
46 7978.0 1467.0
47 8020.0 1491.0
48 8077.0 1542.0
49 8133.0 1551.0
50 8171.0 1563.0
51 8226.0 1590.0
52 8267.0 1584.0
53 8303.0 1578.0
54 8344.0 1602.0
55 8389.0 1626.0
56 8430.0 1650.0
57 8482.0 1665.0
58 8526.0 1680.0
59 8541.0 1689.0
60 8569.0 1704.0
61 8585.0 1716.0
62 8604.0 1737.0
63 8636.0 1737.0
64 8682.0 1761.0
65 8706.0 1776.0
66 8725.0 1797.0
67 8761.0 1803.0
68 8788.0 1812.0
69 8842.0 1845.0
70 8862.0 1827.0
71 8916.0 1836.0
72 8947.0 1839.0
73 8959.0 1851.0
74 8983.0 1854.0
75 9004.0 1857.0
76 9019.0 1863.0
77 9038.0 1866.0
78 9036.0 1893.0
79 9033.0 1893.0
80 9057.0 1887.0
81 9046.0 1887.0
82 9056.0 1905.0
83 9065.0 1908.0
84 9097.0 1935.0
85 9110.0 1926.0
86 9126.0 1932.0
87 9154.0 1941.0
88 9166.0 1959.0
89 9192.0 1974.0
90 9209.0 1989.0
91 9221.0 1998.0
92 9230.0 2007.0
93 9255.0 2019.0
94 9271.0 2022.0
95 9323.0 2049.0
96 9326.0 2046.0
97 9335.0 2040.0
98 9349.0 2034.0
99 9396.0 2049.0
100 9418.0 2046.0
101 9444.0 2046.0
102 9451.0 2064.0
103 9442.0 2073.0
104 9471.0 2100.0
105 9501.0 2103.0
106 9470.0 2094.0
107 9476.0 2121.0
108 9493.0 2136.0
109 9503.0 2142.0
110 9499.0 2136.0
111 9523.0 2157.0
112 9533.0 2163.0
113 9539.0 2178.0
114 9552.0 2160.0
115 9569.0 2163.0
116 9568.0 2178.0
117 9590.0 2187.0
118 9600.0 2184.0
119 9606.0 2205.0
120 9622.0 2199.0
121 9628.0 2217.0
122 9623.0 2220.0
123 9637.0 2211.0
124 9654.0 2226.0
125 9687.0 2247.0
126 9701.0 2244.0
127 9689.0 2250.0
128 9693.0 2247.0
129 9686.0 2271.0
130 9684.0 2262.0
131 9681.0 2271.0
132 9659.0 2250.0
133 9654.0 2262.0
134 9664.0 2283.0
135 9673.0 2295.0
136 9695.0 2298.0
137 9711.0 2295.0
138 9733.0 2307.0
139 9723.0 2301.0
140 9735.0 2307.0
141 9713.0 2322.0
142 9708.0 2322.0
143 9716.0 2340.0
144 9710.0 2328.0
145 9734.0 2328.0
146 9726.0 2316.0
147 9746.0 2316.0
148 9757.0 2325.0
149 9733.0 2325.0
150 9739.0 2331.0
151 9734.0 2319.0
152 9756.0 2331.0
153 9780.0 2346.0
154 9772.0 2349.0
155 9779.0 2352.0
156 9771.0 2355.0
157 9767.0 2379.0
158 9750.0 2373.0
159 9748.0 2394.0
160 9753.0 2385.0
161 9737.0 2388.0
162 9737.0 2385.0
163 9738.0 2370.0
164 9737.0 2385.0
165 9737.0 2385.0
166 9738.0 2376.0
167 9740.0 2388.0
168 9729.0 2382.0
169 9708.0 2373.0
170 9704.0 2370.0
171 9726.0 2364.0
172 9704.0 2361.0
173 9701.0 2370.0
174 9690.0 2370.0
175 9701.0 2391.0
176 9695.0 2406.0
177 9675.0 2400.0
178 9687.0 2391.0
179 9702.0 2400.0
180 9732.0 2409.0
181 9730.0 2418.0
182 9745.0 2415.0
183 9735.0 2403.0
184 9740.0 2412.0
185 9736.0 2409.0
186 9752.0 2427.0
187 9725.0 2415.0
188 9739.0 2418.0
189 9757.0 2415.0
190 9755.0 2415.0
191 9771.0 2436.0
192 9766.0 2445.0
193 9798.0 2460.0
194 9826.0 2448.0
195 9834.0 2442.0
196 9832.0 2448.0
197 9857.0 2457.0
198 9863.0 2457.0
199 9858.0 2463.0
200 9868.0 2466.0
201 9868.0 2484.0
202 9855.0 2502.0
203 9851.0 2493.0
204 9830.0 2481.0
205 9818.0 2496.0
206 9805.0 2484.0
207 9793.0 2475.0
208 9785.0 2475.0
209 9821.0 2490.0
210 9815.0 2499.0
211 9830.0 2484.0
212 9821.0 2493.0
213 9831.0 2472.0
214 9823.0 2457.0
215 9811.0 2463.0
216 9810.0 2469.0
217 9813.0 2472.0
218 9816.0 2493.0
219 9831.0 2499.0
220 9821.0 2514.0
221 9816.0 2502.0
222 9800.0 2484.0
223 9797.0 2475.0
224 9791.0 2481.0
225 9804.0 2508.0
226 9797.0 2508.0
227 9789.0 2505.0
228 9805.0 2505.0
229 9800.0 2502.0
230 9787.0 2514.0
231 9778.0 2499.0
232 9763.0 2511.0
233 9774.0 2508.0
234 9774.0 2535.0
235 9793.0 2526.0
236 9787.0 2523.0
237 9793.0 2526.0
238 9784.0 2517.0
239 9799.0 2514.0
240 9814.0 2508.0
241 9795.0 2511.0
242 9810.0 2520.0
243 9822.0 2526.0
244 9819.0 2517.0
245 9829.0 2538.0
246 9822.0 2553.0
247 9830.0 2553.0
248 9825.0 2547.0
249 9852.0 2565.0
250 9853.0 2568.0
251 9841.0 2556.0
252 9841.0 2571.0
253 9859.0 2589.0
254 9864.0 2568.0
255 9880.0 2589.0
256 9891.0 2589.0
257 9872.0 2598.0
258 9870.0 2598.0
259 9846.0 2589.0
260 9844.0 2580.0
261 9825.0 2583.0
262 9840.0 2583.0
263 9816.0 2604.0
264 9814.0 2577.0
265 9821.0 2577.0
266 9826.0 2577.0
267 9833.0 2580.0
268 9852.0 2589.0
269 9850.0 2598.0
270 9866.0 2616.0
271 9883.0 2643.0
272 9880.0 2646.0
273 9857.0 2649.0
274 9887.0 2646.0
275 9884.0 2652.0
276 9862.0 2643.0
277 9844.0 2637.0
278 9838.0 2649.0
279 9835.0 2640.0
280 9833.0 2646.0
281 9859.0 2664.0
282 9877.0 2676.0
283 9838.0 2661.0
284 9838.0 2688.0
285 9830.0 2688.0
286 9824.0 2697.0
287 9816.0 2685.0
288 9838.0 2685.0
289 9828.0 2694.0
290 9833.0 2682.0
291 9839.0 2667.0
292 9833.0 2664.0
293 9846.0 2652.0
294 9828.0 2661.0
295 9804.0 2646.0
296 9804.0 2646.0
297 9800.0 2634.0
298 9787.0 2634.0
299 9805.0 2649.0
300 9799.0 2667.0
301 9796.0 2667.0
302 9777.0 2658.0
303 9769.0 2643.0
304 9767.0 2667.0
305 9787.0 2703.0
306 9795.0 2697.0
307 9778.0 2676.0
308 9767.0 2682.0
309 9773.0 2670.0
310 9763.0 2670.0
311 9760.0 2679.0
312 9747.0 2688.0
313 9727.0 2682.0
314 9727.0 2691.0
315 9736.0 2718.0
316 9758.0 2742.0
317 9789.0 2763.0
318 9801.0 2760.0
319 9818.0 2766.0
320 9825.0 2769.0
321 9823.0 2766.0
322 9823.0 2775.0
323 9801.0 2754.0
324 9807.0 2757.0
325 9809.0 2772.0
326 9816.0 2772.0
327 9795.0 2757.0
328 9768.0 2757.0
329 9768.0 2754.0
330 9776.0 2763.0
331 9760.0 2763.0
332 9740.0 2757.0
333 9758.0 2739.0
334 9758.0 2730.0
335 9752.0 2724.0
336 9758.0 2727.0
337 9774.0 2736.0
338 9788.0 2733.0
339 9804.0 2742.0
340 9787.0 2760.0
341 9778.0 2781.0
342 9784.0 2775.0
343 9771.0 2772.0
344 9751.0 2748.0
345 9745.0 2745.0
346 9749.0 2763.0
347 9745.0 2736.0
348 9734.0 2748.0
349 9701.0 2751.0
350 9691.0 2745.0
351 9685.0 2751.0
352 9697.0 2760.0
353 9709.0 2787.0
354 9713.0 2790.0
355 9707.0 2760.0
356 9709.0 2772.0
357 9728.0 2793.0
358 9733.0 2811.0
359 9720.0 2796.0
360 9722.0 2790.0
361 9734.0 2799.0
362 9749.0 2820.0
363 9720.0 2817.0
364 9720.0 2811.0
365 9724.0 2817.0
366 9715.0 2823.0
367 9713.0 2811.0
368 9705.0 2814.0
369 9735.0 2826.0
370 9760.0 2841.0
371 9739.0 2823.0
372 9750.0 2808.0
373 9747.0 2817.0
374 9740.0 2841.0
375 9729.0 2835.0
376 9747.0 2844.0
377 9748.0 2850.0
378 9741.0 2856.0
379 9742.0 2859.0
380 9737.0 2850.0
381 9735.0 2853.0
382 9737.0 2868.0
383 9734.0 2862.0
384 9752.0 2859.0
385 9762.0 2862.0
386 9746.0 2865.0
387 9750.0 2868.0
388 9767.0 2874.0
389 9787.0 2886.0
390 9765.0 2895.0
