MCS Area Volume r h theta_rad theta_deg
0 300 3880 9.77205 14.724 1.96973 112.857
1 336 4267 10.3418 14.9613 1.93195 110.693
2 387 4807 11.0989 15.2485 1.88322 107.9
3 465 5437 12.1661 15.3074 1.79849 103.046
4 573 6099 13.5052 15.0536 1.67912 96.2066
5 750 6950 15.451 14.3808 1.49908 85.8909
6 867 7782 16.6125 14.3685 1.42619 81.7147
7 960 8678 17.4808 14.6496 1.39502 79.9288
8 1128 9517 18.9487 14.2102 1.28691 73.7346
9 1284 10352 20.2166 13.9233 1.20621 69.1108
10 1386 11093 21.0042 13.9542 1.1728 67.1965
11 1497 11772 21.8291 13.8635 1.13165 64.8388
12 1623 12376 22.7292 13.6204 1.07973 61.8641
13 1731 12926 23.4733 13.4596 1.04126 59.66
14 1815 13395 24.0361 13.3787 1.01581 58.2014
15 1896 13825 24.5666 13.2876 0.991629 56.8162
16 1971 14170 25.0477 13.1659 0.967888 55.4559
17 2058 14426 25.5946 12.9216 0.935052 53.5746
18 2118 14684 25.965 12.8233 0.917464 52.5668
19 2169 14828 26.2757 12.6868 0.899639 51.5455
20 2202 14974 26.4749 12.64 0.890863 51.0427
21 2244 15082 26.7262 12.5251 0.876503 50.2199
22 2274 15178 26.9042 12.4586 0.867345 49.6952
23 2310 15244 27.1163 12.3453 0.854459 48.9569
24 2313 15294 27.1339 12.3679 0.855347 49.0077
25 2322 15371 27.1867 12.3831 0.85481 48.977
26 2331 15431 27.2393 12.3861 0.853537 48.904
27 2340 15477 27.2919 12.3792 0.851666 48.7969
28 2358 15493 27.3966 12.312 0.844705 48.398
29 2388 15560 27.5703 12.2297 0.835007 47.8424
30 2400 15607 27.6395 12.2113 0.832038 47.6723
31 2403 15643 27.6568 12.2236 0.832321 47.6885
32 2409 15678 27.6913 12.2225 0.83133 47.6317
33 2421 15726 27.7602 12.2049 0.828437 47.466
34 2442 15739 27.8803 12.1257 0.820485 47.0104
35 2457 15742 27.9658 12.0654 0.814615 46.674
36 2469 15760 28.034 12.0282 0.810605 46.4442
37 2484 15788 28.1191 11.9858 0.805864 46.1726
38 2508 15801 28.2546 11.8973 0.797085 45.6696
39 2520 15845 28.3221 11.8788 0.79427 45.5083
40 2529 15852 28.3726 11.8476 0.791122 45.328
41 2553 15870 28.5069 11.7645 0.782797 44.851
42 2565 15876 28.5738 11.7215 0.778565 44.6085
43 2580 15883 28.6573 11.6677 0.773303 44.307
44 2619 15901 28.8731 11.5299 0.75986 43.5368
45 2631 15907 28.9391 11.4885 0.755813 43.3049
46 2643 15918 29.0051 11.4505 0.751993 43.086
47 2661 15916 29.1037 11.3821 0.745602 42.7198
48 2667 15913 29.1364 11.3579 0.743398 42.5936
49 2685 15936 29.2346 11.3066 0.738074 42.2885
50 2691 15943 29.2672 11.2892 0.736287 42.1862
51 2688 15937 29.2509 11.2963 0.737083 42.2318
52 2700 15933 29.3162 11.25 0.732835 41.9883
53 2706 15945 29.3487 11.236 0.731259 41.8981
54 2694 15944 29.2836 11.2789 0.735301 42.1296
55 2706 15958 29.3487 11.2444 0.731757 41.9266
56 2727 15964 29.4624 11.1726 0.724921 41.5349
57 2736 15986 29.5109 11.1545 0.722757 41.4109
58 2736 15988 29.5109 11.1558 0.722833 41.4153
59 2748 15999 29.5756 11.1201 0.719275 41.2114
60 2763 15981 29.6562 11.0557 0.713673 40.8905
61 2775 15977 29.7205 11.0111 0.709621 40.6583
62 2775 15968 29.7205 11.0054 0.709284 40.639
63 2796 15985 29.8328 10.9433 0.703165 40.2884
64 2799 16003 29.8488 10.9443 0.702878 40.2719
65 2817 16026 29.9446 10.897 0.698019 39.9936
66 2817 16000 29.9446 10.8807 0.697058 39.9385
67 2811 16013 29.9127 10.9094 0.699435 40.0747
68 2817 16013 29.9446 10.8889 0.697539 39.966
69 2835 16039 30.0401 10.844 0.692851 39.6974
70 2856 16029 30.1512 10.7671 0.685979 39.3037
71 2859 16021 30.167 10.7521 0.684765 39.2341
72 2880 15996 30.2776 10.667 0.677457 38.8154
73 2886 15984 30.3091 10.6399 0.675211 38.6867
74 2868 16011 30.2144 10.716 0.681647 39.0555
75 2868 16017 30.2144 10.7197 0.681865 39.068
76 2868 16007 30.2144 10.7135 0.681501 39.0471
77 2886 16000 30.3091 10.6497 0.675791 38.72
78 2904 15987 30.4035 10.5829 0.669931 38.3842
79 2901 15988 30.3878 10.5933 0.670861 38.4375
80 2904 15982 30.4035 10.5798 0.669751 38.3739
81 2925 15977 30.5132 10.5089 0.663365 38.008
82 2931 15983 30.5445 10.4934 0.661823 37.9196
83 2925 16007 30.5132 10.5273 0.664439 38.0696
84 2928 16005 30.5289 10.5164 0.663487 38.015
85 2943 16019 30.607 10.477 0.659609 37.7928
86 2961 16041 30.7004 10.4332 0.655189 37.5396
87 2940 16048 30.5914 10.5042 0.661514 37.902
88 2943 16046 30.607 10.4934 0.660569 37.8478
89 2961 16056 30.7004 10.4423 0.655719 37.5699
90 2967 16073 30.7315 10.4336 0.654597 37.5056
91 2946 16093 30.6226 10.5124 0.661367 37.8935
92 2979 16078 30.7936 10.3989 0.651347 37.3194
93 2994 16090 30.871 10.3593 0.647521 37.1002
94 3012 16078 30.9637 10.2964 0.64206 36.7873
95 3018 16089 30.9945 10.2846 0.640774 36.7137
96 3012 16079 30.9637 10.297 0.642095 36.7893
97 3015 16063 30.9791 10.2783 0.640704 36.7097
98 3027 16092 31.0407 10.2588 0.638388 36.5769
99 3024 16091 31.0253 10.2674 0.639182 36.6224
100 3021 16082 31.0099 10.2712 0.6397 36.6521
101 3015 16086 30.9791 10.292 0.641503 36.7554
102 3009 16094 30.9483 10.3153 0.643453 36.8671
103 3027 16094 31.0407 10.26 0.638457 36.5809
104 3027 16121 31.0407 10.2761 0.639391 36.6344
105 3012 16139 30.9637 10.3329 0.64418 36.9088
106 3006 16128 30.9328 10.3449 0.645475 36.983
107 3015 16124 30.9791 10.3147 0.642823 36.831
108 3024 16075 31.0253 10.2578 0.638628 36.5907
109 3030 16062 31.0561 10.2318 0.636524 36.4701
110 3030 16071 31.0561 10.2371 0.636835 36.488
111 3027 16070 31.0407 10.2457 0.637627 36.5333
112 3033 16069 31.0714 10.2268 0.635941 36.4368
113 3030 16059 31.0561 10.23 0.63642 36.4642
114 3054 16044 31.1788 10.1485 0.629355 36.0594
115 3066 16059 31.24 10.1214 0.626633 35.9034
116 3078 16071 31.3011 10.0927 0.62383 35.7428
117 3081 16056 31.3163 10.075 0.622519 35.6677
118 3078 16052 31.3011 10.0815 0.623182 35.7057
119 3105 16054 31.4381 10.0032 0.616113 35.3007
120 3096 16052 31.3925 10.0284 0.618411 35.4323
121 3099 16053 31.4077 10.0202 0.617655 35.389
122 3117 16063 31.4988 9.97341 0.613284 35.1386
123 3108 16047 31.4533 9.9903 0.615092 35.2422
124 3099 16047 31.4077 10.0166 0.617452 35.3774
125 3111 16041 31.4684 9.97804 0.614106 35.1857
126 3120 16055 31.5139 9.96003 0.612235 35.0785
127 3123 16066 31.5291 9.95774 0.611827 35.0551
128 3123 16047 31.5291 9.94667 0.611188 35.0185
129 3129 16050 31.5593 9.93107 0.609738 34.9354
130 3111 16017 31.4684 9.96402 0.613296 35.1393
131 3123 16039 31.5291 9.94202 0.610919 35.0031
132 3135 16039 31.5896 9.90738 0.607824 34.8258
133 3129 16019 31.5593 9.91303 0.608698 34.8758
134 3108 16021 31.4533 9.9751 0.614214 35.1919
135 3120 16041 31.5139 9.95187 0.611764 35.0515
136 3120 16022 31.5139 9.9408 0.611125 35.0149
137 3129 16016 31.5593 9.91129 0.608597 34.8701
138 3141 16045 31.6198 9.89362 0.606486 34.7491
139 3180 16062 31.8155 9.79264 0.597185 34.2162
140 3168 16061 31.7554 9.82593 0.600163 34.3868
141 3168 16047 31.7554 9.81786 0.599699 34.3602
142 3150 16039 31.6651 9.86439 0.603989 34.606
143 3153 16031 31.6801 9.85121 0.60296 34.547
144 3159 16027 31.7103 9.83183 0.601306 34.4523
145 3171 16026 31.7704 9.79729 0.59825 34.2772
146 3189 16073 31.8605 9.77369 0.595304 34.1084
147 3198 16088 31.9054 9.75712 0.593564 34.0087
148 3183 16065 31.8305 9.78593 0.596535 34.1789
149 3198 16072 31.9054 9.74797 0.59304 33.9787
150 3207 16062 31.9503 9.71723 0.590494 33.8328
151 3213 16064 31.9801 9.70175 0.589088 33.7522
152 3228 16052 32.0547 9.65362 0.585043 33.5205
153 3237 16043 32.0994 9.6239 0.582576 33.3791
154 3246 16033 32.144 9.59375 0.58009 33.2367
155 3252 16056 32.1736 9.59049 0.579398 33.1971
156 3258 16051 32.2033 9.57144 0.577807 33.1059
157 3243 16021 32.1291 9.5951 0.580421 33.2557
158 3246 16019 32.144 9.58583 0.579638 33.2108
159 3264 16001 32.233 9.5271 0.574776 32.9322
160 3258 15997 32.2033 9.54097 0.576068 33.0063
161 3252 15996 32.1736 9.55659 0.577462 33.0862
162 3231 16006 32.0696 9.61929 0.582822 33.3933
