MCS Area Volume r h theta_rad theta_deg
0 300 3880 9.77205 14.724 1.96973 112.857
1 336 4291 10.3418 15.0074 1.93483 110.858
2 387 4790 11.0989 15.218 1.88131 107.791
3 471 5368 12.2443 15.1155 1.77991 101.982
4 570 6035 13.4698 14.9888 1.67744 96.1104
5 684 6738 14.7555 14.7694 1.57174 90.0539
6 816 7445 16.1165 14.4086 1.45902 83.5954
7 942 8152 17.3161 14.155 1.37058 78.5283
8 1059 8861 18.36 14.0134 1.30386 74.7059
9 1191 9511 19.4707 13.7071 1.22679 70.29
10 1293 10126 20.2873 13.6176 1.18232 67.742
11 1389 10684 21.0269 13.5204 1.14288 65.4823
12 1473 11200 21.6534 13.4697 1.11296 63.768
13 1614 11697 22.6661 13.0518 1.04492 59.8693
14 1704 12125 23.2895 12.9092 1.01226 57.9984
15 1791 12503 23.8766 12.7501 0.980952 56.2044
16 1878 12832 24.4497 12.5606 0.949147 54.3821
17 1962 13133 24.9905 12.3757 0.919627 52.6907
18 1974 13364 25.0668 12.5031 0.925362 53.0193
19 2007 13573 25.2754 12.5053 0.918894 52.6487
20 2052 13758 25.5572 12.4294 0.905314 51.8707
21 2106 13915 25.8913 12.2913 0.886449 50.7898
22 2118 14052 25.965 12.34 0.887316 50.8395
23 2151 14161 26.1665 12.268 0.876828 50.2385
24 2190 14260 26.4026 12.1625 0.86336 49.4669
25 2217 14359 26.5649 12.1139 0.855682 49.027
26 2238 14428 26.6904 12.0707 0.849446 48.6697
27 2265 14514 26.8509 12.0141 0.841444 48.2112
28 2286 14567 26.9751 11.9607 0.8347 47.8248
29 2313 14634 27.1339 11.8922 0.826129 47.3337
30 2325 14687 27.2042 11.879 0.823409 47.1779
31 2334 14740 27.2568 11.8787 0.821973 47.0956
32 2349 14786 27.3443 11.8478 0.817729 46.8524
33 2337 14828 27.2744 11.9291 0.82461 47.2467
34 2361 14849 27.414 11.842 0.815517 46.7257
35 2367 14900 27.4489 11.853 0.81527 46.7115
36 2364 14927 27.4315 11.8849 0.817691 46.8503
37 2379 14947 27.5183 11.8359 0.812382 46.5461
38 2370 14988 27.4662 11.903 0.817872 46.8606
39 2394 14998 27.605 11.8093 0.808471 46.322
40 2409 15047 27.6913 11.7815 0.804515 46.0953
41 2436 15052 27.8461 11.674 0.793954 45.4902
42 2448 15061 27.9146 11.6316 0.789612 45.2415
43 2463 15054 28 11.5662 0.783464 44.8892
44 2484 15074 28.1191 11.4963 0.776215 44.4739
45 2499 15090 28.2038 11.4481 0.771174 44.185
46 2502 15098 28.2208 11.4418 0.770373 44.1391
47 2514 15099 28.2884 11.3955 0.765895 43.8826
48 2541 15118 28.4399 11.304 0.756646 43.3526
49 2553 15139 28.5069 11.2723 0.753107 43.1499
50 2556 15143 28.5237 11.2635 0.752176 43.0965
51 2565 15159 28.5738 11.2401 0.749557 42.9464
52 2604 15186 28.7903 11.1118 0.736686 42.209
53 2598 15197 28.7571 11.1415 0.739257 42.3563
54 2613 15214 28.84 11.0972 0.734642 42.0919
55 2610 15216 28.8234 11.1096 0.735779 42.157
56 2619 15242 28.8731 11.0937 0.733661 42.0357
