MCS Area Volume r h theta_rad theta_deg
0 300 3880 9.77205 14.724 1.96973 112.857
1 339 4284 10.3878 14.9508 1.92714 110.417
2 372 4825 10.8817 15.4861 1.91656 109.811
3 435 5461 11.7671 15.733 1.85725 106.413
4 564 6242 13.3988 15.3799 1.70826 97.8763
5 687 7120 14.7878 15.2847 1.60384 91.8934
6 774 8095 15.6962 15.6907 1.57045 89.9799
7 915 9150 17.0662 15.63 1.483 84.9698
8 1068 10243 18.4379 15.5177 1.39922 80.1695
9 1221 11437 19.7144 15.5247 1.33412 76.4396
10 1374 12745 20.9131 15.6374 1.28409 73.5732
11 1533 14070 22.09 15.7084 1.23628 70.8339
12 1719 15442 23.3918 15.637 1.17852 67.5242
13 1896 16852 24.5666 15.6566 1.13481 65.0199
14 2097 18287 25.8359 15.5599 1.08415 62.1174
15 2226 19730 26.6187 15.8527 1.07428 61.5515
16 2385 21155 27.553 15.9563 1.04984 60.1513
17 2610 22600 28.8234 15.7503 1.00022 57.3081
18 2787 24074 29.7847 15.7952 0.975205 55.8752
19 3033 25472 31.0714 15.5087 0.925902 53.0503
20 3210 26764 31.9652 15.468 0.901374 51.6449
21 3381 28011 32.8056 15.4315 0.879364 50.3839
22 3543 29115 33.5823 15.3634 0.858122 49.1668
23 3732 30266 34.4664 15.2287 0.832099 47.6757
24 3873 31279 35.1115 15.2024 0.817211 46.8227
25 4086 32160 36.064 14.8947 0.783336 44.8819
26 4197 32925 36.5506 14.8695 0.772742 44.2748
27 4320 33559 37.0823 14.7575 0.757503 43.4017
28 4407 34099 37.4539 14.7174 0.748825 42.9045
29 4476 34516 37.7459 14.6822 0.741932 42.5096
30 4530 34876 37.9729 14.6682 0.737248 42.2412
31 4617 35195 38.3358 14.5475 0.725378 41.5611
32 4683 35457 38.6089 14.4659 0.716978 41.0798
33 4713 35688 38.7323 14.4711 0.715119 40.9733
34 4761 35854 38.9291 14.4042 0.708779 40.6101
35 4782 36034 39.0148 14.4148 0.707826 40.5554
36 4800 36197 39.0882 14.427 0.707155 40.517
37 4863 36359 39.3439 14.3209 0.69817 40.0022
38 4875 36477 39.3924 14.3325 0.6979 39.9867
39 4869 36563 39.3681 14.3793 0.700393 40.1295
40 4878 36692 39.4045 14.4025 0.700839 40.1551
41 4905 36787 39.5134 14.3667 0.697461 39.9616
42 4953 36842 39.7063 14.2632 0.689724 39.5183
43 4950 36928 39.6943 14.3016 0.69163 39.6275
44 4989 37015 39.8503 14.2334 0.686098 39.3105
45 4995 37129 39.8743 14.2587 0.686844 39.3532
46 5019 37163 39.97 14.2102 0.683172 39.1429
47 5055 37240 40.113 14.1473 0.678133 38.8541
48 5082 37319 40.22 14.1081 0.674727 38.659
49 5094 37367 40.2675 14.0953 0.673424 38.5843
50 5112 37445 40.3386 14.0783 0.671571 38.4782
51 5133 37493 40.4213 14.0436 0.668766 38.3175
52 5172 37537 40.5746 13.9641 0.662925 37.9828
53 5190 37571 40.6452 13.9325 0.660465 37.8418
54 5196 37603 40.6686 13.9292 0.659962 37.813
55 5196 37643 40.6686 13.9429 0.660568 37.8478
56 5220 37682 40.7625 13.8989 0.657221 37.656
57 5226 37701 40.7859 13.8911 0.656529 37.6163
58 5247 37750 40.8677 13.858 0.653853 37.463
59 5247 37795 40.8677 13.8734 0.654528 37.5017
60 5259 37819 40.9144 13.8532 0.652947 37.4111
61 5271 37890 40.9611 13.8491 0.652074 37.3611
62 5289 37909 41.031 13.8132 0.64947 37.2119
63 5307 37923 41.1007 13.7758 0.646809 37.0595
64 5316 37939 41.1356 13.7603 0.645619 36.9912
65 5328 38002 41.182 13.7537 0.644652 36.9358
66 5361 38019 41.3093 13.6831 0.639723 36.6534
67 5355 38039 41.2862 13.7037 0.640954 36.724
68 5370 38068 41.344 13.6789 0.639039 36.6142
69 5379 38109 41.3786 13.672 0.638239 36.5684
70 5367 38125 41.3324 13.7049 0.64034 36.6888
71 5355 38128 41.2862 13.7336 0.64226 36.7988
72 5358 38147 41.2978 13.7331 0.642069 36.7878
73 5376 38148 41.3671 13.692 0.639275 36.6278
74 5382 38145 41.3901 13.6772 0.638299 36.5719
75 5379 38186 41.3786 13.6978 0.639364 36.6328
76 5400 38196 41.4593 13.6531 0.636257 36.4549
77 5409 38187 41.4938 13.6296 0.63474 36.3679
78 5415 38213 41.5168 13.6246 0.634196 36.3367
79 5430 38232 41.5743 13.597 0.632174 36.2209
80 5439 38260 41.6087 13.5859 0.631206 36.1654
81 5451 38311 41.6546 13.5758 0.630117 36.103
82 5466 38315 41.7119 13.5435 0.627904 35.9762
83 5511 38375 41.8832 13.463 0.62202 35.6391
84 5532 38397 41.963 13.4239 0.619221 35.4787
85 5535 38423 41.9743 13.4258 0.619147 35.4745
86 5556 38435 42.0539 13.3836 0.616229 35.3073
87 5595 38462 42.2012 13.3076 0.610935 35.004
88 5583 38476 42.1559 13.3382 0.612869 35.1148
89 5592 38474 42.1899 13.318 0.611537 35.0385
90 5601 38485 42.2239 13.3021 0.610391 34.9728
91 5613 38454 42.2691 13.2662 0.60823 34.849
92 5625 38470 42.3142 13.2456 0.606734 34.7633
93 5628 38451 42.3255 13.233 0.60604 34.7236
94 5622 38473 42.3029 13.253 0.607205 34.7903
95 5622 38455 42.3029 13.2472 0.606954 34.7759
96 5637 38459 42.3593 13.2163 0.604869 34.6564
97 5628 38453 42.3255 13.2337 0.606068 34.7252
98 5625 38483 42.3142 13.2498 0.606915 34.7737
99 5625 38500 42.3142 13.2553 0.607152 34.7873
100 5625 38541 42.3142 13.2686 0.607723 34.82
101 5652 38538 42.4157 13.2099 0.603834 34.5972
102 5667 38536 42.4719 13.1773 0.601685 34.474
103 5679 38531 42.5168 13.1503 0.599927 34.3733
104 5700 38538 42.5954 13.1083 0.597085 34.2105
105 5712 38547 42.6402 13.086 0.595539 34.1219
106 5718 38548 42.6626 13.0738 0.59472 34.075
107 5739 38511 42.7409 13.0182 0.591316 33.8799
108 5724 38495 42.685 13.0443 0.593164 33.9858
109 5715 38490 42.6514 13.0615 0.594341 34.0532
110 5727 38497 42.6961 13.0387 0.592777 33.9636
111 5709 38494 42.629 13.0753 0.595228 34.1041
112 5718 38524 42.6626 13.0661 0.594391 34.0561
113 5715 38513 42.6514 13.0689 0.594656 34.0713
114 5721 38530 42.6738 13.0618 0.594058 34.037
115 5724 38544 42.685 13.06 0.593835 34.0242
116 5757 38536 42.8078 12.9889 0.58919 33.7581
117 5748 38524 42.7744 13.0037 0.590258 33.8193
118 5766 38537 42.8413 12.9707 0.587976 33.6885
119 5769 38529 42.8524 12.9619 0.587459 33.6589
120 5751 38539 42.7855 13.0023 0.590052 33.8075
121 5730 38538 42.7073 13.0456 0.592924 33.9721
122 5757 38543 42.8078 12.9911 0.589285 33.7636
123 5742 38555 42.752 13.026 0.591504 33.8907
124 5763 38570 42.8301 12.9873 0.588833 33.7377
125 5793 38570 42.9415 12.9257 0.584761 33.5044
126 5793 38578 42.9415 12.9282 0.584869 33.5105
127 5805 38548 42.9859 12.8942 0.582848 33.3947
128 5817 38592 43.0303 12.8837 0.581831 33.3364
129 5826 38593 43.0636 12.8657 0.58064 33.2682
130 5811 38618 43.0081 12.9041 0.582985 33.4026
131 5814 38607 43.0192 12.8945 0.582435 33.371
132 5799 38586 42.9637 12.9185 0.584168 33.4704
133 5826 38593 43.0636 12.8657 0.58064 33.2682
134 5799 38606 42.9637 12.9248 0.584438 33.4858
135 5790 38612 42.9303 12.9451 0.585735 33.5601
136 5811 38622 43.0081 12.9054 0.583039 33.4057
137 5826 38624 43.0636 12.8755 0.581057 33.2921
138 5808 38615 42.997 12.9093 0.583348 33.4234
139 5817 38639 43.0303 12.8985 0.582463 33.3727
140 5805 38691 42.9859 12.9394 0.584776 33.5052
141 5814 38704 43.0192 12.9251 0.58374 33.4458
142 5802 38710 42.9748 12.9516 0.585437 33.543
143 5805 38699 42.9859 12.9419 0.584884 33.5114
144 5790 38678 42.9303 12.966 0.586627 33.6112
145 5814 38685 43.0192 12.9192 0.583485 33.4312
146 5823 38660 43.0525 12.893 0.581942 33.3428
147 5814 38675 43.0192 12.916 0.58335 33.4235
148 5805 38682 42.9859 12.9366 0.584655 33.4982
149 5832 38669 43.0858 12.8775 0.58086 33.2808
150 5847 38694 43.1411 12.855 0.579198 33.1856
151 5886 38696 43.2848 12.7774 0.574081 32.8924
152 5871 38683 43.2296 12.8033 0.575878 32.9954
153 5877 38652 43.2517 12.7816 0.574677 32.9265
154 5868 38623 43.2185 12.7905 0.575474 32.9722
155 5880 38654 43.2627 12.7762 0.57431 32.9055
156 5904 38632 43.3509 12.7215 0.570883 32.7092
157 5910 38643 43.3729 12.7131 0.570249 32.6729
158 5925 38652 43.4279 12.6862 0.568426 32.5684
159 5940 38653 43.4829 12.657 0.566507 32.4585
160 5925 38671 43.4279 12.6921 0.568677 32.5828
161 5922 38671 43.4169 12.6981 0.569065 32.605
162 5946 38664 43.5048 12.6486 0.565882 32.4226
163 5952 38684 43.5268 12.6431 0.565376 32.3937
164 5946 38687 43.5048 12.6558 0.566184 32.44
165 5958 38670 43.5487 12.627 0.564425 32.3392
166 5976 38641 43.6144 12.5829 0.561754 32.1861
167 5994 38677 43.6801 12.5591 0.559947 32.0826
168 5994 38710 43.6801 12.5693 0.560377 32.1072
169 6003 38706 43.7129 12.5507 0.559191 32.0393
170 6000 38688 43.7019 12.5509 0.559334 32.0475
171 5991 38685 43.6691 12.5674 0.56043 32.1103
172 5991 38662 43.6691 12.5603 0.56013 32.0931
173 5997 38655 43.691 12.5466 0.559282 32.0445
174 5985 38675 43.6473 12.576 0.561058 32.1463
175 5976 38681 43.6144 12.5953 0.562277 32.2161
176 5979 38629 43.6254 12.5734 0.561217 32.1554
177 5979 38619 43.6254 12.5703 0.561086 32.1479
178 5985 38612 43.6473 12.5565 0.560236 32.0991
179 6000 38602 43.7019 12.5244 0.558214 31.9833
180 5991 38575 43.6691 12.5335 0.558995 32.0281
181 6006 38557 43.7238 12.499 0.556875 31.9066
182 6021 38541 43.7783 12.4653 0.554792 31.7872
183 6039 38536 43.8437 12.4294 0.55249 31.6553
184 6063 38549 43.9308 12.3878 0.549696 31.4953
185 6036 38562 43.8328 12.4431 0.553199 31.6959
186 6057 38564 43.909 12.4038 0.550628 31.5487
187 6066 38548 43.9416 12.3818 0.549315 31.4734
188 6081 38529 43.9959 12.3477 0.547234 31.3542
189 6084 38519 44.0068 12.339 0.546739 31.3259
190 6072 38547 43.9634 12.3702 0.548566 31.4305
191 6090 38538 44.0285 12.3335 0.546252 31.2979
192 6093 38538 44.0393 12.3279 0.545887 31.277
193 6072 38550 43.9634 12.3711 0.548605 31.4327
194 6087 38544 44.0176 12.341 0.546695 31.3233
195 6090 38529 44.0285 12.3308 0.546137 31.2913
196 6096 38531 44.0502 12.3202 0.545433 31.251
197 6087 38520 44.0176 12.3337 0.546387 31.3056
198 6108 38524 44.0935 12.2956 0.543889 31.1625
199 6135 38534 44.1908 12.2484 0.540765 30.9835
200 6138 38553 44.2017 12.2486 0.540647 30.9768
201 6114 38540 44.1152 12.2892 0.543368 31.1327
202 6120 38532 44.1368 12.2756 0.542542 31.0854
203 6129 38551 44.1692 12.2647 0.541701 31.0372
204 6138 38544 44.2017 12.2458 0.540532 30.9702
205 6147 38548 44.234 12.2304 0.539507 30.9115
206 6147 38539 44.234 12.2277 0.539393 30.9049
207 6159 38540 44.2772 12.2058 0.537975 30.8237
208 6162 38547 44.288 12.2024 0.537707 30.8084
209 6171 38578 44.3203 12.1952 0.537032 30.7696
210 6189 38575 44.3849 12.1613 0.534867 30.6456
211 6159 38560 44.2772 12.2119 0.538229 30.8382
212 6168 38587 44.3095 12.2034 0.537501 30.7965
213 6180 38609 44.3526 12.188 0.536358 30.731
214 6168 38592 44.3095 12.205 0.537564 30.8002
215 6168 38586 44.3095 12.2031 0.537488 30.7958
216 6180 38557 44.3526 12.1724 0.535702 30.6934
217 6183 38583 44.3634 12.1747 0.535675 30.6919
218 6171 38566 44.3203 12.1916 0.53688 30.761
219 6165 38593 44.2988 12.2108 0.537933 30.8213
220 6159 38642 44.2772 12.2366 0.539267 30.8977
221 6156 38651 44.2664 12.2449 0.539739 30.9248
222 6156 38642 44.2664 12.2421 0.539625 30.9182
223 6150 38629 44.2448 12.2493 0.540176 30.9498
224 6162 38598 44.288 12.2178 0.538353 30.8454
225 6180 38593 44.3526 12.1832 0.536156 30.7195
226 6156 38604 44.2664 12.2307 0.539143 30.8906
227 6156 38606 44.2664 12.2313 0.539169 30.8921
228 6165 38614 44.2988 12.2171 0.538199 30.8365
229 6186 38607 44.3741 12.1764 0.535624 30.689
230 6189 38625 44.3849 12.1764 0.535497 30.6817
231 6189 38626 44.3849 12.1767 0.535509 30.6824
232 6189 38629 44.3849 12.1776 0.535547 30.6846
233 6201 38656 44.4279 12.1637 0.534474 30.6231
