MCS Area Volume r h theta_rad theta_deg
0 300 3880 9.77205 14.724 1.96973 112.857
1 318 4267 10.0609 15.2219 1.97352 113.074
2 378 4702 10.9691 15.1826 1.89029 108.306
3 450 5218 11.9683 15.1304 1.80313 103.312
4 525 5835 12.9272 15.2099 1.7327 99.2764
5 630 6558 14.161 15.0982 1.63483 93.669
6 759 7310 15.5434 14.7945 1.52143 87.1718
7 900 8028 16.9257 14.3801 1.40852 80.7024
8 1038 8788 18.1771 14.1028 1.31969 75.6127
9 1200 9566 19.5441 13.6996 1.22274 70.0577
10 1341 10366 20.6604 13.5272 1.1594 66.4285
11 1470 11136 21.6314 13.4267 1.11101 63.6562
12 1557 11880 22.2623 13.5769 1.09528 62.7548
13 1674 12649 23.0836 13.5545 1.0619 60.8422
14 1809 13409 23.9963 13.4243 1.02011 58.4482
15 1905 14195 24.6248 13.5387 1.00538 57.604
16 2025 14938 25.3885 13.4854 0.976527 55.9509
17 2112 15642 25.9282 13.5727 0.964501 55.2618
18 2229 16323 26.6367 13.4921 0.937708 53.7267
19 2328 17007 27.2218 13.5033 0.92096 52.7671
20 2442 17709 27.8803 13.4583 0.899454 51.5349
21 2553 18369 28.5069 13.4026 0.878972 50.3614
22 2676 18972 29.1856 13.2658 0.853234 48.8867
23 2781 19587 29.7526 13.2169 0.836084 47.9041
24 2880 20181 30.2776 13.1818 0.821231 47.0531
25 2979 20731 30.7936 13.1236 0.805736 46.1653
26 3069 21288 31.2553 13.105 0.794045 45.4954
27 3177 21846 31.8005 13.0243 0.777449 44.5445
28 3237 22311 32.0994 13.0637 0.773015 44.2905
29 3303 22785 32.425 13.0861 0.767178 43.9561
30 3384 23253 32.8201 13.0545 0.757144 43.3811
31 3456 23656 33.1674 13.0209 0.748188 42.868
32 3507 24074 33.4113 13.0634 0.745428 42.7099
33 3576 24556 33.7383 13.0787 0.739629 42.3776
34 3633 24965 34.0062 13.096 0.735206 42.1242
35 3684 25330 34.244 13.1108 0.731292 41.8999
36 3738 25670 34.4941 13.1042 0.726114 41.6033
37 3795 25990 34.7561 13.0795 0.719861 41.245
38 3858 26342 35.0434 13.0522 0.713082 40.8566
39 3921 26608 35.3284 12.987 0.704551 40.3678
40 3966 26892 35.5305 12.9834 0.700682 40.1461
41 4014 27134 35.7449 12.9527 0.695298 39.8376
42 4038 27400 35.8516 13.0012 0.695779 39.8652
43 4071 27638 35.9978 13.0114 0.693676 39.7447
44 4107 27882 36.1566 13.0156 0.691073 39.5956
45 4140 28092 36.3016 13.0136 0.688427 39.444
46 4182 28309 36.4852 12.9897 0.684065 39.194
47 4212 28509 36.6159 12.9918 0.681915 39.0709
48 4236 28681 36.72 12.9986 0.680453 38.9871
49 4272 28831 36.8757 12.9636 0.676108 38.7381
50 4323 28980 37.0952 12.8887 0.668802 38.3195
51 4356 29147 37.2365 12.87 0.665549 38.1332
52 4383 29279 37.3517 12.853 0.662829 37.9773
53 4380 29392 37.339 12.9069 0.665623 38.1374
54 4413 29532 37.4793 12.8774 0.661898 37.924
55 4428 29683 37.543 12.8994 0.661904 37.9243
56 4425 29826 37.5303 12.9649 0.665237 38.1152
57 4452 29951 37.6446 12.9448 0.662407 37.9531
58 4479 30098 37.7586 12.9338 0.660024 37.8166
59 4494 30199 37.8217 12.9353 0.659075 37.7622
60 4509 30300 37.8848 12.9369 0.65813 37.7081
61 4494 30419 37.8217 13.0229 0.663219 37.9996
62 4533 30520 37.9855 12.9625 0.657716 37.6843
63 4572 30608 38.1486 12.8979 0.652062 37.3604
64 4599 30723 38.261 12.8748 0.649193 37.196
65 4614 30799 38.3234 12.8668 0.647834 37.1182
66 4620 30893 38.3483 12.8883 0.648452 37.1536
67 4629 30956 38.3856 12.8903 0.647956 37.1251
68 4662 31050 38.5222 12.8445 0.643675 36.8799
69 4665 31114 38.5346 12.8617 0.644288 36.915
70 4665 31198 38.5346 12.8941 0.645801 37.0017
71 4665 31253 38.5346 12.9153 0.64679 37.0584
72 4665 31279 38.5346 12.9253 0.647258 37.0851
73 4701 31372 38.683 12.8719 0.642456 36.81
74 4710 31458 38.72 12.8826 0.642382 36.8058
75 4719 31509 38.757 12.8799 0.641687 36.7659
76 4716 31562 38.7447 12.9076 0.64316 36.8504
77 4749 31607 38.88 12.8438 0.638117 36.5614
78 4779 31653 39.0026 12.7884 0.63368 36.3072
79 4806 31666 39.1126 12.7284 0.629239 36.0527
80 4809 31731 39.1248 12.7456 0.629853 36.0879
81 4839 31790 39.2467 12.6962 0.625744 35.8525
82 4860 31822 39.3317 12.6584 0.622737 35.6802
83 4875 31841 39.3924 12.6302 0.620539 35.5543
84 4866 31889 39.356 12.6692 0.622876 35.6881
85 4878 31920 39.4045 12.6525 0.621388 35.6029
86 4887 31988 39.4408 12.6566 0.62104 35.583
87 4890 31990 39.453 12.6503 0.620572 35.5562
88 4884 32020 39.4287 12.6755 0.622089 35.6431
