MCS Area Volume r h theta_rad theta_deg
0 300 3880 9.77205 14.724 1.96973 112.857
1 339 4026 10.3878 14.4438 1.89462 108.553
2 369 4147 10.8377 14.2555 1.84154 105.512
3 393 4272 11.1846 14.1658 1.80492 103.414
4 420 4416 11.5624 14.0755 1.76622 101.197
5 441 4528 11.848 14.008 1.73749 99.551
6 477 4657 12.3221 13.7807 1.68244 96.3968
7 513 4784 12.7786 13.5607 1.63016 93.4013
8 543 4892 13.1469 13.3893 1.58906 91.0464
9 552 5002 13.2555 13.4782 1.58746 90.9547
10 576 5112 13.5406 13.3877 1.55944 89.3494
11 621 5254 14.0595 13.1161 1.50139 86.0235
12 669 5391 14.5928 12.8191 1.44157 82.5959
13 702 5539 14.9484 12.7145 1.40964 80.7664
14 732 5626 15.2644 12.5463 1.37594 78.8356
15 780 5754 15.757 12.2723 1.32342 75.8266
16 804 5844 15.9975 12.1824 1.30166 74.5799
17 831 5931 16.2639 12.0626 1.2763 73.1269
18 858 6045 16.526 11.9881 1.25515 71.9149
19 897 6144 16.8975 11.7871 1.21818 69.7968
20 930 6247 17.2055 11.6527 1.19061 68.2171
21 951 6346 17.3986 11.6188 1.17757 67.4699
22 984 6438 17.6979 11.4767 1.1506 65.9247
23 1023 6505 18.0452 11.2572 1.11552 63.9144
24 1047 6596 18.2557 11.1961 1.10027 63.041
25 1068 6684 18.4379 11.1556 1.08823 62.351
26 1089 6788 18.6183 11.1379 1.07822 61.7776
27 1110 6846 18.7969 11.0591 1.06361 60.9405
28 1122 6927 18.8982 11.0785 1.06045 60.7594
29 1125 6981 18.9235 11.128 1.06317 60.9154
30 1143 7057 19.0743 11.0964 1.05378 60.3772
31 1176 7126 19.3477 10.9499 1.03002 59.0159
32 1185 7213 19.4216 10.9982 1.03052 59.0447
33 1224 7301 19.7386 10.84 1.00442 57.5492
34 1239 7349 19.8592 10.7985 0.996073 57.0708
35 1254 7422 19.979 10.7887 0.990267 56.7381
36 1269 7477 20.0981 10.7569 0.982851 56.3132
37 1302 7526 20.3578 10.6022 0.960284 55.0202
38 1317 7589 20.4747 10.5824 0.954074 54.6644
39 1353 7666 20.7527 10.4489 0.932882 53.4502
40 1371 7713 20.8903 10.3939 0.923371 52.9053
41 1389 7738 21.0269 10.3145 0.912098 52.2594
42 1410 7780 21.1853 10.2384 0.900361 51.5869
43 1425 7828 21.2977 10.2055 0.893715 51.2061
44 1425 7857 21.2977 10.2386 0.89624 51.3508
45 1455 7909 21.5207 10.1245 0.879467 50.3898
46 1467 7978 21.6093 10.1338 0.877008 50.2488
47 1491 8020 21.7853 10.0458 0.86414 49.5116
48 1542 8077 22.1548 9.83078 0.835259 47.8568
49 1551 8133 22.2193 9.84346 0.834058 47.788
50 1563 8171 22.3051 9.8209 0.829513 47.5276
51 1590 8226 22.4969 9.73882 0.817078 46.8151
52 1584 8267 22.4545 9.81335 0.824038 47.2139
53 1578 8303 22.4119 9.88287 0.830631 47.5916
54 1602 8344 22.5817 9.80146 0.819013 46.926
55 1626 8389 22.7502 9.72604 0.807997 46.2948
56 1650 8430 22.9175 9.64817 0.796949 45.6618
57 1665 8482 23.0214 9.62736 0.792179 45.3885
58 1680 8526 23.1249 9.59873 0.786881 45.0849
59 1689 8541 23.1868 9.57022 0.78289 44.8563
60 1704 8569 23.2895 9.52623 0.776543 44.4926
61 1716 8585 23.3713 9.48507 0.771065 44.1788
62 1737 8604 23.5139 9.40517 0.760984 43.6011
63 1737 8636 23.5139 9.43692 0.76331 43.7345
64 1761 8682 23.6758 9.37096 0.753766 43.1876
65 1776 8706 23.7764 9.32581 0.747579 42.8331
66 1797 8725 23.9166 9.24949 0.738046 42.2869
67 1803 8761 23.9565 9.25745 0.737504 42.2559
68 1812 8788 24.0162 9.24336 0.734809 42.1015
69 1845 8842 24.2339 9.15002 0.722046 41.3702
